stable_id,platform,title,publisher,canonical_url,published_date,duration_seconds,content_type,status,relevance_status,rights_status,content_sha256,path
C0SktfXClfA,youtube,Kaizen-Sustaining Gains,Velaction Continuous Improvement,https://www.youtube.com/watch?v=C0SktfXClfA,2018-02-12,185,transcript,accepted,relevant,third-party,e8b2126b0b10c9340864ee4a87d3e19bd2bcee8d9b9fd01580407716adb4c765,sources/youtube/accepted/2018-02-12--kaizen-sustaining-gains--velaction-continuous-improvement--C0SktfXClfA.md
CcbogALFNX0,youtube,Toyota Material Handling | Why 5S?,Toyota Forklifts,https://www.youtube.com/watch?v=CcbogALFNX0,2018-06-25,379,transcript,accepted,relevant,third-party,e774a6bc48a11bf52b9dc8d176d3775aa446a5fc56bc57ea1ef1f87a1692a13b,sources/youtube/accepted/2018-06-25--toyota-material-handling-why-5s--toyota-forklifts--CcbogALFNX0.md
F5vtCRFRAK0,youtube,How Toyota Changed The Way We Make Things,Bloomberg Originals,https://www.youtube.com/watch?v=F5vtCRFRAK0,2018-08-23,292,transcript,accepted,relevant,third-party,709f95e2a14fa074fe67d596f12c9df385e54eeb339057fbcf09f6deaae255a0,sources/youtube/accepted/2018-08-23--how-toyota-changed-the-way-we-make-things--bloomberg-originals--F5vtCRFRAK0.md
aXzKibGn_b4,youtube,How to Build a Self-Learning Organisation,Growth Tribe,https://www.youtube.com/watch?v=aXzKibGn_b4,2019-04-10,264,transcript,accepted,relevant,third-party,0e90c601691fd6305f55e8796643bb7e44b4d0e4ac5d261bb0305bb1cfe80e9b,sources/youtube/accepted/2019-04-10--how-to-build-a-self-learning-organisation--growth-tribe--aXzKibGn_b4.md
X7Dh_pvSw4Y,youtube,How To Manage Your Corporate Memory,Nacsoft Yazılım,https://www.youtube.com/watch?v=X7Dh_pvSw4Y,2019-06-25,126,transcript,accepted,relevant,third-party,38efee6369e73cc8d6b93b619d571f5e06dda84d6bd60dda3a4f60677edfacf3,sources/youtube/accepted/2019-06-25--how-to-manage-your-corporate-memory--nacsoft-yaz-l-m--X7Dh_pvSw4Y.md
k1k2h1l2VO0,youtube,What is Peter Senge's Learning Organization?,Management Courses - Mike Clayton,https://www.youtube.com/watch?v=k1k2h1l2VO0,2021-04-08,392,transcript,accepted,relevant,third-party,de960bcb0c1d12b694d607da3a1eb4c914032d2666d2b37489318d344adcaccb,sources/youtube/accepted/2021-04-08--what-is-peter-senge-s-learning-organization--management-courses-mike-clayton--k1k2h1l2VO0.md
CzaVk5I3wJA,youtube,Kaizen & The 5 Whys,Skillsoft YouTube,https://www.youtube.com/watch?v=CzaVk5I3wJA,2021-06-15,213,transcript,accepted,relevant,third-party,570fdea775d5e4beda215f5f08fbd11b7559ed68d75bade908c70dd7dd439305,sources/youtube/accepted/2021-06-15--kaizen-the-5-whys--skillsoft-youtube--CzaVk5I3wJA.md
yc-V8FTDx_Q,youtube,Brex and Scale Document AI,Scale AI,https://www.youtube.com/watch?v=yc-V8FTDx_Q,2021-09-29,180,transcript,accepted,relevant,third-party,64fa7713d964bf02e8274c740110736cda217bae1be69b8f3d70aaaabef18b5b,sources/youtube/accepted/2021-09-29--brex-and-scale-document-ai--scale-ai--yc-V8FTDx_Q.md
FuVTBr91MMY,youtube,Building a Learning Organization With Kata,Lean Enterprise Institute,https://www.youtube.com/watch?v=FuVTBr91MMY,2021-10-05,211,transcript,accepted,relevant,third-party,677ecfa4db625a5df86539dec5d24cbe87749b2196e691e04f3501d0d11201fc,sources/youtube/accepted/2021-10-05--building-a-learning-organization-with-kata--lean-enterprise-institute--FuVTBr91MMY.md
lx2bAg_eIr8,youtube,The positive feedback loop in a systems thinking approach,will howard,https://www.youtube.com/watch?v=lx2bAg_eIr8,2021-12-02,326,transcript,accepted,relevant,third-party,39ca4da51b785dcccd1146080716cb3661aa9b219c65fc37c0f26b9881d4b02e,sources/youtube/accepted/2021-12-02--the-positive-feedback-loop-in-a-systems-thinking-approach--will-howard--lx2bAg_eIr8.md
mm8_8EDITNU,youtube,Learning from Toyota | Simon Sinek,Simon Sinek,https://www.youtube.com/watch?v=mm8_8EDITNU,2022-02-02,183,transcript,accepted,relevant,third-party,16cf569401d8dbb05828a11e6bae1692e675137a90351b8647c22a1102606b94,sources/youtube/accepted/2022-02-02--learning-from-toyota-simon-sinek--simon-sinek--mm8_8EDITNU.md
_yqxvzl1CtQ,youtube,"BREx - Data Streams to Automated Decisions, Instantly",Lentra,https://www.youtube.com/watch?v=_yqxvzl1CtQ,2022-02-03,249,transcript,accepted,relevant,third-party,86004727fb5894f3f53bbc23186edabf0290cc98d42dbc57cd715ac79d33a597,sources/youtube/accepted/2022-02-03--brex-data-streams-to-automated-decisions-instantly--lentra--_yqxvzl1CtQ.md
CzDod4bXmlE,youtube,"Clip - Stafford Beer on Management Cybernetics, Computer Control of Social Systems",Alison McDowell,https://www.youtube.com/watch?v=CzDod4bXmlE,2022-04-28,414,transcript,accepted,relevant,third-party,1396912ffca880e270f2b2cf58ac9aede9435baec6d5f1dc28951bfd44a7f7db,sources/youtube/accepted/2022-04-28--clip-stafford-beer-on-management-cybernetics-computer-control-of-social-systems--alison-mcdowell--CzDod4bXmlE.md
UyS2n_Xd9F8,youtube,Brex CEO breaks down how the fintech company disrupts corporate finances,CNBC Television,https://www.youtube.com/watch?v=UyS2n_Xd9F8,2022-05-17,224,transcript,accepted,relevant,third-party,4cc8a2a299f69cf35459448b4a0a884e731946f30c81672ac80724eec89b6ec4,sources/youtube/accepted/2022-05-17--brex-ceo-breaks-down-how-the-fintech-company-disrupts-corporate-finances--cnbc-television--UyS2n_Xd9F8.md
ofWUzlgKF3o,youtube,Adaptive Enterprise Pillar 1: Built on purpose and meaning,Deloitte US,https://www.youtube.com/watch?v=ofWUzlgKF3o,2022-07-07,130,transcript,accepted,relevant,third-party,54766b884cc068df8540382fcccf3196038bac77d579f05f82b8a269703a2159,sources/youtube/accepted/2022-07-07--adaptive-enterprise-pillar-1-built-on-purpose-and-meaning--deloitte-us--ofWUzlgKF3o.md
CUMIb-4Rc50,youtube,Adaptive Enterprise Pillar 2: Organized for effectiveness and efficiency,Deloitte US,https://www.youtube.com/watch?v=CUMIb-4Rc50,2022-07-07,108,transcript,accepted,relevant,third-party,f87978032669fb70e8936f3965693f036bda419e1804ea889c7722c7e441e3d6,sources/youtube/accepted/2022-07-07--adaptive-enterprise-pillar-2-organized-for-effectiveness-and-efficiency--deloitte-us--CUMIb-4Rc50.md
kkwR45_GtIc,youtube,What is Organizational Memory?,Marketing Business Network,https://www.youtube.com/watch?v=kkwR45_GtIc,2023-01-11,186,transcript,accepted,relevant,third-party,adbdb4c4c895371aef32f6804271ba32ab58e74c09e24078cb4eb5a08d45db55,sources/youtube/accepted/2023-01-11--what-is-organizational-memory--marketing-business-network--kkwR45_GtIc.md
vk2CzzogOB0,youtube,Organizational Learning and Organizational Memory | Knowledge Management | MGTE630_Topic139,Virtual University of Pakistan,https://www.youtube.com/watch?v=vk2CzzogOB0,2023-03-28,380,transcript,accepted,relevant,third-party,298a3f620076072a7ac351ee134230da5a2e435ab8cb33e509396c300add8650,sources/youtube/accepted/2023-03-28--organizational-learning-and-organizational-memory-knowledge-management-mgte630-topic139--virtual-university-of-pakistan--vk2CzzogOB0.md
RY7cIIGKLbE,youtube,Systems Thinking   Casual Loop Diagram,John Messer,https://www.youtube.com/watch?v=RY7cIIGKLbE,2023-07-21,395,transcript,accepted,relevant,third-party,08762c9c87f7007b2ca1e638129cf13a2623c43a9472595eff6bf8776112052a,sources/youtube/accepted/2023-07-21--systems-thinking-casual-loop-diagram--john-messer--RY7cIIGKLbE.md
b88Z5lK9HOY,youtube,Stafford Beer's Viable System Model - Quick Overview,Adam Thompson,https://www.youtube.com/watch?v=b88Z5lK9HOY,2023-12-14,142,transcript,accepted,relevant,third-party,200a86ff4130bd4c41eee0773a0a2e8fc3782a9294e7c162f4343ee6eb6ab146,sources/youtube/accepted/2023-12-14--stafford-beer-s-viable-system-model-quick-overview--adam-thompson--b88Z5lK9HOY.md
hLJTcVHW8_I,youtube,AI Agents Explained: A Comprehensive Guide for Beginners,AI Alfie ,https://www.youtube.com/watch?v=hLJTcVHW8_I,2024-04-29,412,transcript,accepted,relevant,third-party,d91b0677c09acf0feb43ff7c80b5397a006bf50ecef81d2f2a3a2a075abfab8f,sources/youtube/accepted/2024-04-29--ai-agents-explained-a-comprehensive-guide-for-beginners--ai-alfie--hLJTcVHW8_I.md
m6FTkNJBwCg,youtube,Disruptor 50 #4: Brex Co-CEO talks using AI to streamline company finances,CNBC Television,https://www.youtube.com/watch?v=m6FTkNJBwCg,2024-05-15,235,transcript,accepted,relevant,third-party,dd856db4acd3507eed49ea9178c1d08da846f834217b769c5c80ce83af529f51,sources/youtube/accepted/2024-05-15--disruptor-50-4-brex-co-ceo-talks-using-ai-to-streamline-company-finances--cnbc-television--m6FTkNJBwCg.md
5_0eS5meMK8,youtube,Lean Management the Toyota Way summarized in 5 minutes - Expert talk,Marris Consulting,https://www.youtube.com/watch?v=5_0eS5meMK8,2024-06-27,295,transcript,accepted,relevant,third-party,29abcd40c82ce647a6d038ae2c9f397692a1517ddd3aba8a4fc41576f05fbc95,sources/youtube/accepted/2024-06-27--lean-management-the-toyota-way-summarized-in-5-minutes-expert-talk--marris-consulting--5_0eS5meMK8.md
aV861JuP7rg,youtube,Pedro Franceschi: What Brex Needs to do to be a Public Company  | E1178,20VC with Harry Stebbings,https://www.youtube.com/watch?v=aV861JuP7rg,2024-07-17,3204,transcript,accepted,relevant,third-party,1eb0fa8666dbfe5524f9ebd2a704f18c3e1ef0ccdcd773e3c10b7d8f7a333ac9,sources/youtube/accepted/2024-07-17--pedro-franceschi-what-brex-needs-to-do-to-be-a-public-company-e1178--20vc-with-harry-stebbings--aV861JuP7rg.md
Su8r4YKX_ls,youtube,What is Systems Thinking?,Machinations,https://www.youtube.com/watch?v=Su8r4YKX_ls,2024-08-19,343,transcript,accepted,relevant,third-party,9355cd0792a4426812d2243da81f6420fdb2920bf97020882316b29908899ffd,sources/youtube/accepted/2024-08-19--what-is-systems-thinking--machinations--Su8r4YKX_ls.md
mLToxdGbB80,youtube,Real-World Examples of Lean in Action,EMS Consulting Group,https://www.youtube.com/watch?v=mLToxdGbB80,2025-02-13,218,transcript,accepted,relevant,third-party,5a800ff0dd148d357de7bca4530f53ee0bfd7cfad8b316bc8ff4a3bef205c7d1,sources/youtube/accepted/2025-02-13--real-world-examples-of-lean-in-action--ems-consulting-group--mLToxdGbB80.md
WW-v5mO2P7w,youtube,Build Self-Improving Agents: LangMem Procedural Memory Tutorial,LangChain,https://www.youtube.com/watch?v=WW-v5mO2P7w,2025-02-18,407,transcript,accepted,relevant,third-party,a92240b3f472c3d201e7ea123795059379b3ea91030c59bf75d6a1d052527de4,sources/youtube/accepted/2025-02-18--build-self-improving-agents-langmem-procedural-memory-tutorial--langchain--WW-v5mO2P7w.md
sew1BfVSp5U,youtube,Interview with Carol Ptak about the Adaptive Enterprise Foundations™ Program,Ken Titmuss,https://www.youtube.com/watch?v=sew1BfVSp5U,2025-04-14,330,transcript,accepted,relevant,third-party,ce64f177bec83626a35808ef313118b7cc81dd4344ce1966dcb1361fb9d6c239,sources/youtube/accepted/2025-04-14--interview-with-carol-ptak-about-the-adaptive-enterprise-foundations-program--ken-titmuss--sew1BfVSp5U.md
3VUGtNFDSVo,youtube,What Is The Viable System Model? - Socialism Explained,Socialism Explained,https://www.youtube.com/watch?v=3VUGtNFDSVo,2025-05-24,213,transcript,accepted,relevant,third-party,4efdee3953cac47eb21851890e82f7e59e4f0fdd15ad32a325ea8742724df179,sources/youtube/accepted/2025-05-24--what-is-the-viable-system-model-socialism-explained--socialism-explained--3VUGtNFDSVo.md
nKcH-qXfwic,youtube,"Ramp Agents, Explained.",Ramp,https://www.youtube.com/watch?v=nKcH-qXfwic,2025-07-10,99,transcript,accepted,relevant,third-party,982df0337933efc06849ce54564d924b0240ae27a243134b6f7202fee02280ee,sources/youtube/accepted/2025-07-10--ramp-agents-explained--ramp--nKcH-qXfwic.md
gPWD7YytjmM,youtube,I Analyzed Over 500 Y Combinator AI Startups,Mrinmay ,https://www.youtube.com/watch?v=gPWD7YytjmM,2025-08-23,415,transcript,accepted,relevant,third-party,5abe17f7f49abb53647a146eb4263774bfb6ff32ae68fc7b81cd41e7fc0d6b9f,sources/youtube/accepted/2025-08-23--i-analyzed-over-500-y-combinator-ai-startups--mrinmay--gPWD7YytjmM.md
KJnfqo9U8wY,youtube,Lean Leadership: 3 Key Elements of Toyota's Learning Organization,EMS Consulting Group,https://www.youtube.com/watch?v=KJnfqo9U8wY,2025-09-16,116,transcript,accepted,relevant,third-party,5a80c268a1cb4f80fe91cdadd8e701cd7155722e644b0f76f0babf90b866f60c,sources/youtube/accepted/2025-09-16--lean-leadership-3-key-elements-of-toyota-s-learning-organization--ems-consulting-group--KJnfqo9U8wY.md
l_QR9A0U8pM,youtube,What Are The Best Ways To Standardize Continuous Improvement Practices? - Smart Logistics Network,Smart Logistics Network,https://www.youtube.com/watch?v=l_QR9A0U8pM,2025-09-27,226,transcript,accepted,relevant,third-party,3f8406c157145887f3c05b2143a5ea5e4b832feaf086700632abd3e339171b9c,sources/youtube/accepted/2025-09-27--what-are-the-best-ways-to-standardize-continuous-improvement-practices-smart-logistics-network--smart-logistics-network--l_QR9A0U8pM.md
9h5tzTz8-H0,youtube,The Agentic Commerce Revolution is here - but it's not what you think! (Brex CEO Pedro Franceschi),Rex Salisbury,https://www.youtube.com/watch?v=9h5tzTz8-H0,2025-10-10,2944,transcript,accepted,relevant,third-party,6596d9924bbfe44acd4fcf70aa86204569906d1826813b74bc81644bad6617bb,sources/youtube/accepted/2025-10-10--the-agentic-commerce-revolution-is-here-but-it-s-not-what-you-think-brex-ceo-pedro-franceschi--rex-salisbury--9h5tzTz8-H0.md
A6UVT5ZKsOE,youtube,How Autonomous AI Agents Drive Measurable Business Value – CoreShift2025 Insights,Acuvate Software,https://www.youtube.com/watch?v=A6UVT5ZKsOE,2025-10-14,199,transcript,accepted,relevant,third-party,d1456c48a7a3bc4857dcf8d7126733676f84af22d8b76ef758a9a9fb28168164,sources/youtube/accepted/2025-10-14--how-autonomous-ai-agents-drive-measurable-business-value-coreshift2025-insights--acuvate-software--A6UVT5ZKsOE.md
gsMRpZdMEIQ,youtube,"How to Evaluate AI Agents: Comprehensive Strategies for Reliable, High‑Quality Agentic Systems",AI Quality Nerd,https://www.youtube.com/watch?v=gsMRpZdMEIQ,2025-10-25,410,transcript,accepted,relevant,third-party,1658ede9219cf080061c1300be5a20ced48bac74a23b26bee03b51c111d171ef,sources/youtube/accepted/2025-10-25--how-to-evaluate-ai-agents-comprehensive-strategies-for-reliable-high-quality-agentic-systems--ai-quality-nerd--gsMRpZdMEIQ.md
HSQscMY6YZI,youtube,"Beyond the Vibe: Eval-Driven Development | Robert Shelton, Redis | Lightning Talks",Toronto Machine Learning Society (TMLS),https://www.youtube.com/watch?v=HSQscMY6YZI,2025-10-29,306,transcript,accepted,relevant,third-party,2c309f037abf17b504215f4c8f18ffbf5e32d3c4dd03072baa5042539c6d3d61,sources/youtube/accepted/2025-10-29--beyond-the-vibe-eval-driven-development-robert-shelton-redis-lightning-talks--toronto-machine-learning-society-tmls--HSQscMY6YZI.md
QCOsZQ6vNco,youtube,Brex 2025 Fall Release: Introducing Intelligent Finance,Brex,https://www.youtube.com/watch?v=QCOsZQ6vNco,2025-11-05,332,transcript,accepted,relevant,third-party,4be2413257ea9e809ff1518c97887049310d6a27d342cce9a386e7d2b228af42,sources/youtube/accepted/2025-11-05--brex-2025-fall-release-introducing-intelligent-finance--brex--QCOsZQ6vNco.md
R99o7y8v-bA,youtube,LEADING ORGANIZATIONAL CHANGE  Module 10  Scaling and Optimizing Change Initiatives,EarthTab Business School ,https://www.youtube.com/watch?v=R99o7y8v-bA,2025-11-12,148,transcript,accepted,relevant,third-party,4ab8fe5996a58f8d8d26f6ceeba8cef96a257f21c0b62a7ef77e112bb6ed0264,sources/youtube/accepted/2025-11-12--leading-organizational-change-module-10-scaling-and-optimizing-change-initiatives--earthtab-business-school--R99o7y8v-bA.md
3m5r6HIdzEg,youtube,What Are Continuous Improvement Feedback Loops For Projects?,Consulting Career Hub,https://www.youtube.com/watch?v=3m5r6HIdzEg,2025-12-02,209,transcript,accepted,relevant,third-party,ab8e9302b9cb1be1e22f13536abb0c5633fe1e0f80dea83de874cd7acae82130,sources/youtube/accepted/2025-12-02--what-are-continuous-improvement-feedback-loops-for-projects--consulting-career-hub--3m5r6HIdzEg.md
ayjnY1g6XLo,youtube,Ramp Bill Pay Series: AP Agent,Ramp,https://www.youtube.com/watch?v=ayjnY1g6XLo,2025-12-04,163,transcript,accepted,relevant,third-party,b34ecd7e875713990d21d16861c6ea2595f6638bb8eae3dcad8748ce29ba3bfc,sources/youtube/accepted/2025-12-04--ramp-bill-pay-series-ap-agent--ramp--ayjnY1g6XLo.md
wdZSq2XZ0Yg,youtube,“The Use Case No One Is Talking About: Organizational Memory”,FulcrumDigital,https://www.youtube.com/watch?v=wdZSq2XZ0Yg,2025-12-30,92,transcript,accepted,relevant,third-party,7b7c5f267f76dd89358dcbbfcc661fa48ae34e011500b8434083760e258f4509,sources/youtube/accepted/2025-12-30--the-use-case-no-one-is-talking-about-organizational-memory--fulcrumdigital--wdZSq2XZ0Yg.md
Dq9-WUeZD0w,youtube,Introducing Ramp's Policy Agent,Ramp,https://www.youtube.com/watch?v=Dq9-WUeZD0w,2026-01-12,123,transcript,accepted,relevant,third-party,6e978d5e1eea5cf6b177009939166df1e52dd36cf7b58ab9cfff17dddde6fb09,sources/youtube/accepted/2026-01-12--introducing-ramp-s-policy-agent--ramp--Dq9-WUeZD0w.md
-Xxs1AvZPXc,youtube,"Scaling Finance with AI: What’s working, and what’s next [CFO Roundtable]",TeamOhanaHQ,https://www.youtube.com/watch?v=-Xxs1AvZPXc,2026-02-11,3555,transcript,accepted,relevant,third-party,82e59c1a412a6d7aa53789809b4b008e538b3028ee2155312e64ad42af093392,sources/youtube/accepted/2026-02-11--scaling-finance-with-ai-what-s-working-and-what-s-next-cfo-roundtable--teamohanahq---Xxs1AvZPXc.md
vmbBnL6zVmw,youtube,Meet Ramp's Accounting Agent,Ramp,https://www.youtube.com/watch?v=vmbBnL6zVmw,2026-02-12,91,transcript,accepted,relevant,third-party,18b906f2b9fbd6bc5cce3ca8c97120a6124f869d10e9be7562320c22d9c91c0d,sources/youtube/accepted/2026-02-12--meet-ramp-s-accounting-agent--ramp--vmbBnL6zVmw.md
t8rye2lRB3o,youtube,Ramp Accounting Series: Accounting Agent,Ramp,https://www.youtube.com/watch?v=t8rye2lRB3o,2026-02-12,249,transcript,accepted,relevant,third-party,94e0aac28be6a6bc6e0d670e2601c8ac326777fec9353b9659cf3c9e8a32d50f,sources/youtube/accepted/2026-02-12--ramp-accounting-series-accounting-agent--ramp--t8rye2lRB3o.md
Ski1MBTgHZ8,youtube,Self-improving AI agent that modifies its own code | Peter Steinberger and Lex Fridman,Lex Clips,https://www.youtube.com/watch?v=Ski1MBTgHZ8,2026-02-13,216,transcript,accepted,relevant,third-party,a6330574025dbc7833a531aa60467efb6505d5747af2620e75d3b0893b64d48f,sources/youtube/accepted/2026-02-13--self-improving-ai-agent-that-modifies-its-own-code-peter-steinberger-and-lex-fridman--lex-clips--Ski1MBTgHZ8.md
UxDmHwiWhG0,youtube,Inside Ramp’s Custom Agent Operating System,Notion,https://www.youtube.com/watch?v=UxDmHwiWhG0,2026-02-24,120,transcript,accepted,relevant,third-party,1233cd7fe386d449adfbecba7e6f706421d205c38aede4ba813ba04612cda11c,sources/youtube/accepted/2026-02-24--inside-ramp-s-custom-agent-operating-system--notion--UxDmHwiWhG0.md
7po3hiHqBLE,youtube,A Second Brain Becomes Your Corporate Memory,Victor J Menasce,https://www.youtube.com/watch?v=7po3hiHqBLE,2026-03-09,304,transcript,accepted,relevant,third-party,8249cc19deed72c5ad578debf646731e6b868c6fe3f720852377f5c06f9e74ea,sources/youtube/accepted/2026-03-09--a-second-brain-becomes-your-corporate-memory--victor-j-menasce--7po3hiHqBLE.md
RBqT2PHWdBg,youtube,"Inside Ramp, the $32B Company Where AI Agents Run Everything | Geoff Charles",Peter Yang,https://www.youtube.com/watch?v=RBqT2PHWdBg,2026-03-15,2642,transcript,accepted,relevant,third-party,83596488065cc0e3b5cbf5e0445d256df87f866548d939507ba8d2c378b857cb,sources/youtube/accepted/2026-03-15--inside-ramp-the-32b-company-where-ai-agents-run-everything-geoff-charles--peter-yang--RBqT2PHWdBg.md
RoaPvj9Ovug,youtube,Self Improving Agents in 5 Minutes,Developers Digest,https://www.youtube.com/watch?v=RoaPvj9Ovug,2026-04-04,307,transcript,accepted,relevant,third-party,a4282edb8ff4b588e43bc0323717761e68611dcdff6132b470478c848b4c63f4,sources/youtube/accepted/2026-04-04--self-improving-agents-in-5-minutes--developers-digest--RoaPvj9Ovug.md
3nPNo1Bc7B4,youtube,Pioneer Agent: Continual Improvement of Small Language Models in Production,LuxaK,https://www.youtube.com/watch?v=3nPNo1Bc7B4,2026-04-17,410,transcript,accepted,relevant,third-party,b131ec273c604f1416e0e4aa3eca0c737e122c10f3aa3db23d671ad98ec71341,sources/youtube/accepted/2026-04-17--pioneer-agent-continual-improvement-of-small-language-models-in-production--luxak--3nPNo1Bc7B4.md
KEX8vEryYto,youtube,AIA Intelligence: What If HERMÈS Had Its Own AI?,AIA,https://www.youtube.com/watch?v=KEX8vEryYto,2026-04-20,348,transcript,accepted,relevant,third-party,95f8118a3cdeb51809042a04af90ed7a08ff0c62fc50646c4aebeb9e023b204a,sources/youtube/accepted/2026-04-20--aia-intelligence-what-if-herm-s-had-its-own-ai--aia--KEX8vEryYto.md
EN7frwQIbKc,youtube,How To Build A Company With AI From The Ground Up,Y Combinator,https://www.youtube.com/watch?v=EN7frwQIbKc,2026-04-24,627,transcript,accepted,relevant,third-party,60f46320599df96af85b1e2aa2e1109e9ed57444eb01208db3929a872ef5e600,sources/youtube/accepted/2026-04-24--how-to-build-a-company-with-ai-from-the-ground-up--y-combinator--EN7frwQIbKc.md
57lDpTwiW6g,youtube,Tokenmaxxing: How Top Builders Use AI To Do The Work Of 400 Engineers,Y Combinator,https://www.youtube.com/watch?v=57lDpTwiW6g,2026-05-08,2489,transcript,accepted,relevant,third-party,7efbae1fdc7da2aff00a34b50c023b0845c1d10e5619046c43f066f555f7c32d,sources/youtube/accepted/2026-05-08--tokenmaxxing-how-top-builders-use-ai-to-do-the-work-of-400-engineers--y-combinator--57lDpTwiW6g.md
AkadGXzDqBw,youtube,NOT-Recursive NOT-Self Improvement: autoresearch isn't SuperAI's next step,Internet of Bugs,https://www.youtube.com/watch?v=AkadGXzDqBw,2026-05-14,392,transcript,accepted,relevant,third-party,e96b97874dc57a65bc2708342f7a743501e33d83db584fff78f58bea142a07be,sources/youtube/accepted/2026-05-14--not-recursive-not-self-improvement-autoresearch-isn-t-superai-s-next-step--internet-of-bugs--AkadGXzDqBw.md
Ns8rBRUrxnY,youtube,"Agentic Mesh in the Enterprise: What It Is, and Where We Actually Are",Sullivan & Stanley,https://www.youtube.com/watch?v=Ns8rBRUrxnY,2026-05-19,367,transcript,accepted,relevant,third-party,a1a4f3c958dafd9f714c68ee2a156e5191fbb382597e0da2ed7e34e7ba0491c4,sources/youtube/accepted/2026-05-19--agentic-mesh-in-the-enterprise-what-it-is-and-where-we-actually-are--sullivan-stanley--Ns8rBRUrxnY.md
